3.000000000000000000e+00 1.195927952468804761e-01
3.250000000000000000e+00 2.428224499618377580e-03
3.500000000000000000e+00 -6.971582490343374017e-02
3.750000000000000000e+00 -1.113105172209109817e-01
4.000000000000000000e+00 -1.337587878393052820e-01
4.250000000000000000e+00 -1.443130173123602367e-01
4.500000000000000000e+00 -1.474686509489035735e-01
4.750000000000000000e+00 -1.461420089567458946e-01
5.000000000000000000e+00 -1.421616615752112345e-01
5.250000000000000000e+00 -1.366668704333533213e-01
5.500000000000000000e+00 -1.303937275028364817e-01
5.750000000000000000e+00 -1.237972199385968669e-01
6.000000000000000000e+00 -1.171627633147880043e-01
6.250000000000000000e+00 -1.106725285743029447e-01
6.500000000000000000e+00 -1.044206587823994642e-01
6.750000000000000000e+00 -9.848332373276416640e-02
7.000000000000000000e+00 -9.286747020377038309e-02
7.250000000000000000e+00 -8.758519976745902935e-02
7.500000000000000000e+00 -8.263720987053561895e-02
7.750000000000000000e+00 -7.802350051300024902e-02
8.000000000000000000e+00 -7.370617426251424575e-02
8.250000000000000000e+00 -6.962490459413041288e-02
8.500000000000000000e+00 -6.577891809086228170e-02
8.750000000000000000e+00 -6.216821475270978975e-02
9.000000000000000000e+00 -5.879279457967297867e-02
9.250000000000000000e+00 -5.562925412298196093e-02
9.500000000000000000e+00 -5.261780337892356385e-02
9.750000000000000000e+00 -4.975546207220964134e-02
1.000000000000000000e+01 -4.704223020284022116e-02
1.025000000000000000e+01 -4.447675818517202173e-02
1.050000000000000000e+01 -4.203501660087285291e-02
1.075000000000000000e+01 -3.970815214139416377e-02
1.100000000000000000e+01 -3.749616480673595431e-02
1.125000000000000000e+01 -3.539191318008718529e-02
1.150000000000000000e+01 -3.337744771505055108e-02
1.175000000000000000e+01 -3.145190319830083042e-02
1.200000000000000000e+01 -2.961306000512843248e-02
1.225000000000000000e+01 -2.784858285786681598e-02
1.250000000000000000e+01 -2.615657136451728093e-02
1.275000000000000000e+01 -2.453579545200535242e-02
1.300000000000000000e+01 -2.297767815343073131e-02
1.325000000000000000e+01 -2.148057009082211116e-02
1.350000000000000000e+01 -2.004231971306308716e-02
1.375000000000000000e+01 -1.865624902239784375e-02
1.400000000000000000e+01 -1.732161970446092353e-02
1.425000000000000000e+01 -1.603476181972979253e-02
1.450000000000000000e+01 -1.479416251226342745e-02
1.475000000000000000e+01 -1.359671829044671598e-02
1.500000000000000000e+01 -1.244064227480271706e-02
1.525000000000000000e+01 -1.132367473032327293e-02
1.550000000000000000e+01 -1.024390262019053352e-02
1.575000000000000000e+01 -9.199508131500546901e-03
1.600000000000000000e+01 -8.188779738187304882e-03
1.625000000000000000e+01 -7.210108466166802003e-03
1.650000000000000000e+01 -6.261990560425128444e-03
1.675000000000000000e+01 -5.342992793749891736e-03
1.700000000000000000e+01 -4.451761039574586923e-03
1.725000000000000000e+01 -3.587046048415195015e-03
1.750000000000000000e+01 -2.747636167531030630e-03
1.775000000000000000e+01 -1.929104688717964882e-03
1.800000000000000000e+01 -1.137197214646077552e-03
1.825000000000000000e+01 -3.671794157639799686e-04
1.850000000000000000e+01 3.816640851638183093e-04
1.875000000000000000e+01 1.115391617249904700e-03
1.900000000000000000e+01 1.824710877965778641e-03
1.925000000000000000e+01 2.514986238433106029e-03
1.950000000000000000e+01 3.198841660468161076e-03
1.975000000000000000e+01 3.874690871557269142e-03
2.000000000000000000e+01 4.513638500386978752e-03
2.025000000000000000e+01 5.141960717238600216e-03
2.050000000000000000e+01 5.754251721212922006e-03
2.075000000000000000e+01 6.349197809478283883e-03
2.100000000000000000e+01 6.926790193055183328e-03
2.125000000000000000e+01 7.490241687456007831e-03
2.150000000000000000e+01 8.042980637663503518e-03
2.175000000000000000e+01 8.587462545043080681e-03
2.200000000000000000e+01 9.120848125318159472e-03
2.225000000000000000e+01 9.640945322259128827e-03
2.250000000000000000e+01 1.014775413586598701e-02
2.275000000000000000e+01 1.064282574707599120e-02
2.300000000000000000e+01 1.112771133682640030e-02
2.325000000000000000e+01 1.160241090511720738e-02
2.350000000000000000e+01 1.206692445194841937e-02
2.375000000000000000e+01 1.252173759385592604e-02
2.400000000000000000e+01 1.296733594737561890e-02
2.425000000000000000e+01 1.340371951250749968e-02
2.450000000000000000e+01 1.383088828925156666e-02
2.475000000000000000e+01 1.424939455548398029e-02
2.500000000000000000e+01 1.465979058908090105e-02
2.525000000000000000e+01 1.506207639004232546e-02
2.550000000000000000e+01 1.545625195836825699e-02
2.575000000000000000e+01 1.584276329782865339e-02
2.600000000000000000e+01 1.622205641219347239e-02
2.625000000000000000e+01 1.659413130146271745e-02
2.650000000000000000e+01 1.695898796563638511e-02
2.675000000000000000e+01 1.731701446029058206e-02
2.700000000000000000e+01 1.766859884100140804e-02
2.725000000000000000e+01 1.801374110776886306e-02
2.750000000000000000e+01 1.835244126059295405e-02
2.775000000000000000e+01 1.868502469602311214e-02
2.800000000000000000e+01 1.901181681060877537e-02
2.825000000000000000e+01 1.933281760434994723e-02
2.850000000000000000e+01 1.964802707724662770e-02
2.875000000000000000e+01 1.995777697871574732e-02
2.900000000000000000e+01 2.026239905817425052e-02
2.925000000000000000e+01 2.056189331562213035e-02
2.950000000000000000e+01 2.085625975105938334e-02
2.975000000000000000e+01 2.114549836448601991e-02
3.000000000000000000e+01 2.142960915590203658e-02
